Name;Author;Price;About
Мур Лиз: Алая река;Лиз Мур;103 ₽;103 ₽;БЕСТСЕЛЛЕР NEW YORK TIMES
Дженнифер Робсон: Письма из Лондона;Дженнифер Робсон;114 ₽;114 ₽;Журналистка из Нью-Йорка Руби Саттон приезжает в Лондон в 1940 году. Для нее это карьерный шанс — непредвзято освещать войну в Европе. Руби сталкивается с неоднозначной реакцией — она иностранка, женщина, и далеко не всех устраивает ее присутствие в гуще событий.
Джексон Тиффани: Никто не видел Мандей;Тиффани Джексон;103 ₽;103 ₽;Это история исчезновения моей лучшей подруги. История того, как никто, кроме меня, не заметил этого исчезновения. И как никому не было до этого дела, пока ее не нашли… год спустя.
Киз Дэниел: Элджернон, Чарли и я;Дэниел Киз;103 ₽;103 ₽;Дэниел Киз — знаменитый американский писатель, исследователь глубин человеческого разума, которому удалось как никому другому раскрыть перед читателем тайны личности и психологии. «Элджернон, Чарли и я» — история его жизни, творческого пути, история возникновения героев, которые теперь стали известны всему миру. Увлекательное путешествие писателя, столкнувшегося с множеством препятствий, которые стояли между ним и литературной карьерой, захватывает с первых строк. В этом романе каждый сможет узнать, какие жизненные впечатления, знакомства, случайности и привели в конце концов Киза к созданию одного из самых известных романов XX века «Цветы для Элджернона».
Роберт Джордан: Новая весна;Роберт Джордан;928 ₽;928 ₽;Разгар Айильской войны. Айильцы впервые за многие годы пересекли Хребет Мира, отделяющий их родину от остальных стран континента. Цель вторжения — покарать короля Кайриэна за святотатство. У стен Тар Валона, оплота могущественных Айз Седай, разыгрывается кровавая битва. Одна из Айз Седай, обладающая способностью Предсказания, сообщает о рождении на склонах Драконовой горы младенца, которому суждено стать Драконом Возрожденным, будущим сокрушителем власти Темного. Эта новость пока известна только Престолу Амерлин и двум девушкам, Морейн и Суан, свидетельницам откровения предсказательницы. Теперь их задача — во что бы то ни стало найти младенца, пока силы Темного не сделали это раньше… Роман предваряет знаменитую эпопею «Колесо Времени», описывая события, произошедшие за двадцать лет до начала тех, о которых повествуют основные романы цикла.
Сандерсон Брендон: Юми и укротитель кошмаров;Брендон Сандерсон;1 413 ₽;1 413 ₽;В стране, где родилась Юми, земля под ногами раскалена, а растения парят в воздухе. Юми — повелительница духов, ее удел — самоотверженное служение, каждый ее день состоит из множества утонченных ритуалов. Город, где живет Никаро, окружен таинственной Пеленой, из которой приходят кошмары — чудовищные сущности, питающиеся людскими переживаниями. Никаро — художник, способный с помощью живописи укрощать кошмары, лишать их убийственной силы. Однажды духи обращаются к Юми с просьбой освободить их, обещая, что в этом ей поможет герой. Но не предупреждают, что с героем — Никаро — придется обменяться телами! И как в омут с головой броситься в чужую реальность, полную загадок, тайн и чудес. С цветными иллюстрациями фэнтезийной художницы Алии Чэнь! Впервые на русском!
Бартол Эми: Рожденная второй;Эми Бартол;91 ₽;91 ₽;Эми Бартол — автор бестселлеров USA Today и Wall Street Journal.
Макнил Элизабет: Цирк чудес;Элизабет Макнил;103 ₽;103 ₽;Новый роман от автора «Мастерской кукол»!
Кейн Джессика Фрэнсис: Как Мэй ходила в гости;Джессика Фрэнсис Кейн;114 ₽;114 ₽;Идеально для любителей романов Фредрика Бакмана, Элизабет Берг и Мэтта Хейга.
Кроуз Сьюзи: Прости, но я скучаю;Сьюзи Кроуз;103 ₽;103 ₽;Три женщины. У каждой есть сокровенный вопрос.
Соловьева Екатерина: Вечерняя звезда;Екатерина Соловьева;91 ₽;91 ₽;К молодой москвичке Елизавете во сне является огромный волк — на самом деле, проклятый злым колдуном принц из далёкой волшебной страны. Даже в облике зверя он загадочен, изыскан и старомодно галантен. Вдвоём они переносятся в удивительные места, недоступные обычному человеку. Он открывает ей миры, полные магии, и не раз спасает её наяву в нашем мире, куда может приходить лишь в сумерках или ночью. Неудивительно, что Лиза влюбляется в него. Однажды он внезапно исчезает. Она отправляется за любимым навстречу приключениям: захватывающим, страшным, а порой — весёлым. Удастся ли ей спасти принца? Ведь его жизнь в теле волка — на исходе.
Живетьева Инна Александровна: Тридцать седьмое полнолуние;Инна Живетьева;103 ₽;103 ₽;Инну Живетьеву хвалят М. и С. Дяченко и Г. Л. Олди.
Тайны утерянных камней;Мелисса Пейн;114 ₽;114 ₽;Несколько лет назад Джесс потеряла маленького сына. Однажды она срывается из большого города и едет в сущую глушь — тихое место, окруженное озерами и горами, где по странному стечению обстоятельств оказывается в доме незнакомой пожилой женщины, называющей себя «прозорливицей» и ищущей загадочные «утерянные концы». Джесс постепенно проникается неочевидным волшебством своего нового дома и даже, как ей кажется, находит любовь. Но прошлое неотвратимо тянет ее назад, мешая обрести веру в добро и лучшее будущее.
Гуйюань Тянься: Восхождение фениксов;Тянься Гуйюань;906 ₽;906 ₽;Знаменитый китайский роман от популярной писательницы Тянься Гуйюань! Впервые на русском языке!
Мосян Т.: Система Спаси-Себя-Сам для Главного Злодея. Том 2. (книга+тату+открытка+кардхолдер);Хиты китайского фэнтези;1 250 ₽;1 250 ₽;Прошло три года с тех пор, как Шэнь Цинцю предал Ло Бинхэ. Осталось всего пару лет, прежде чем его «умерший» ученик восстанет из мёртвых, пылая жаждой отмщения... По крайней мере, так должен был развиваться сюжет «Пути гордого бессмертного демона».
Ускова О.: Раша;Трансгуманизм fiction;799 ₽;799 ₽;Иерусалим-Москва-Донецк - огненная ось нашего времени. В этом треугольнике проходят глобальное обновление весь реальный мир и герои романа, из их становления и соткана эта книга. Любовь и Предательство, Искушение деньгами и Властью, Право на смерть и Право на жизнь. Что перед нами - публицистика с элементами мистики или фэнтези про мир, вооруженный воюющим Искусственным Интеллектом и занавешенный документальными событиями? Всё, что описано в книге, происходит сегодня непосредственно с каждым из нас. И всем приходится отвечать на вопросы: - кто я? - с кем я? - где моя Родина? - зачем я на этой Земле? Герои книги нашли свои ответы... "О чём-то из сегодняшних событий мы постараемся забыть в будущем, но роман «Раша» напомнит, какими мы были, как думали, чего боялись, на что надеялись. В этом его главная ценность."
Греймс Джульет: Семь или восемь смертей Стеллы Фортуны;Джульет Греймс;106 ₽;106 ₽;Для Стеллы Фортуны смерть всегда была частью жизни. Ее детство полно странных и опасных инцидентов — такие банальные вещи, как приготовление ужина или кормление свиней неизбежно приводят к фатальной развязке. Даже ее мать считает, что на Стелле лежит какое-то проклятие. Испытания делают девушку крепкой и уверенной, и свой волевой характер Стелла использует, чтобы защитить от мира и жестокого отца младшую, более чувствительную сестренку Тину.
Миссироли Марко: Верность;Марко Миссироли;91 ₽;91 ₽;Вы еще не читали более итальянского романа: действие книги «Верность» Марко Миссироли происходит в Милане, и каждый закуток, ресторан, виа и пьяцца, хранят в себе воспоминание, желание или страсть. Карло и Маргерита женаты уже несколько лет, и даже бесспорная и неумирающая любовь друг к другу не мешает им вожделеть других людей. Карло не может оторвать взгляд от своей студентки Софии, которая робко улыбается на лекциях. Маргерита фантазирует о сильных руках Андреа — ее физиотерапевта. Стоит ли им поддаться соблазну? Сможет ли выстоять их брак? И какова цена верности на самом деле?
Линч Скотт: Хитрости Локка Ламоры;Скотт Линч;823 ₽;823 ₽;«Свежо, оригинально, крайне занимательно — и великолепно исполнено» (Джордж Мартин). Однажды Воровской наставник явился к отцу Цеппи, Безглазому священнику храма Переландро, чтобы сбыть с рук несносного мальчишку Локка Ламору. Ведь Ламора, хоть и прирожденный вор, был воистину несносен, и для его исключительных талантов город-государство Каморр — прорезанное десятками каналов, раскинувшееся на множестве островов под сенью исполинских башен из стекла Древних — могло оказаться тесным. С течением лет Локку и его Благородным Канальям сходит с рук многое, вплоть до нарушения Тайного уговора, регулирующего всю жизнь Путных людей Каморра, но вот в закулисье преступного сообщества появляется Серый король — безжалостный, невидимый и неуязвимый убийца, — внося свои коррективы в очередную гениальную аферу Локка…
Проглядова Олеся Константиновна: Nomen nescio. Имя неизвестно;Олеся Проглядова;91 ₽;91 ₽;«Nomen nescio. Имя неизвестно» — книга-загадка, книга-борьба. Эн не помнит, как ее зовут, но знает, за что стоит сражаться.
